"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2007-04-30",100.09,101,99.67,99.8,22018200,95.92
"2007-05-01",99.59,100.35,98.55,99.47,19018700,95.61
"2007-05-02",99.65,100.54,99.47,100.39,18040900,96.49
"2007-05-03",100.73,101.45,100.01,100.4,20574200,96.5
"2007-05-04",100.8,101.6,100.5,100.81,13642400,96.89
"2007-05-07",101.08,104.35,101.01,103.92,30769900,99.88
"2007-05-08",103.47,105.15,103.42,105.06,27999900,100.98
"2007-05-09",104.91,106.96,104.89,106.88,25634200,102.73
"2007-05-10",106.63,108.84,105.92,107.34,42759200,103.17
"2007-05-11",107.74,109.13,106.78,108.74,23346300,104.52
"2007-05-14",109.62,110,108.25,109.36,23283800,105.11
"2007-05-15",109.57,110.2,106.48,107.52,34089800,103.34
"2007-05-16",108.53,108.83,103.42,107.34,40241700,103.17
"2007-05-17",107.15,109.87,107.15,109.44,26260400,105.19
"2007-05-18",110.23,110.64,109.77,110.02,22190900,105.75
"2007-05-21",110.31,112.45,110.05,111.98,22853300,107.63
"2007-05-22",112.49,113.75,112.01,113.54,20443200,109.13
"2007-05-23",114.02,115,112.59,112.89,32549100,108.5
"2007-05-24",112.81,114.46,110.37,110.69,31691500,106.39
"2007-05-25",112,113.78,111.5,113.62,22605700,109.21
"2007-05-29",114.45,114.86,112.69,114.35,23060500,109.91
"2007-05-30",114.3,118.88,113.53,118.77,52801600,114.16
"2007-05-31",120.07,122.17,119.54,121.19,46323800,116.48
"2007-06-01",121.1,121.19,118.29,118.4,31616500,113.8
"2007-06-04",118.63,121.73,117.9,121.33,31666900,116.62
"2007-06-05",121.41,122.69,120.5,122.67,32885200,117.9
"2007-06-06",122.3,124.05,121.95,123.64,39722900,118.84
"2007-06-07",124.99,127.61,123.19,124.07,68395700,119.25
"2007-06-08",125.82,125.83,122.29,124.49,44345800,119.65
"2007-06-11",126,126.15,119.54,120.19,66937800,115.52
"2007-06-12",119.35,121.71,118.31,120.38,50948800,115.7
"2007-06-13",121.15,121.19,115.4,117.5,61476900,112.94
"2007-06-14",117.2,119.45,116.42,118.75,34759500,114.14
"2007-06-15",120.62,120.67,119.86,120.5,28972100,115.82
"2007-06-18",123.28,125.18,122.54,125.09,32521600,120.23
"2007-06-19",124.69,125.01,122.91,123.66,33679500,118.86
"2007-06-20",123.87,124.66,121.5,121.55,32054000,116.83
"2007-06-21",121.7,124.29,120.72,123.9,30965900,119.09
"2007-06-22",123.85,124.45,122.38,123,22567000,118.22
"2007-06-25",124.19,125.09,121.06,122.34,34478700,117.59
"2007-06-26",123.98,124,118.72,119.65,48035900,115
"2007-06-27",120.61,122.04,119.26,121.89,34810600,117.16
"2007-06-28",122.36,122.49,120,120.56,29933700,115.88
"2007-06-29",121.97,124,121.09,122.04,40637200,117.3
"2007-07-02",121.05,122.09,119.3,121.26,35530800,116.55
"2007-07-03",122,127.4,121.5,127.17,41517200,122.23
"2007-07-05",128.8,132.97,128.69,132.75,51894700,127.59
"2007-07-06",133.13,133.34,130.4,132.3,31239100,127.16
"2007-07-09",132.38,132.9,129.18,130.33,35565000,125.27
"2007-07-10",128.88,134.5,128.81,132.35,44821700,127.21
"2007-07-11",132.07,133.7,131.31,132.39,29349000,127.25
"2007-07-12",133.85,134.24,132.39,134.07,25164600,128.86
"2007-07-13",135.03,137.85,134.52,137.73,32414500,132.38
"2007-07-16",138.39,139.98,137.5,138.1,33432600,132.74
"2007-07-17",138.3,139.6,137.5,138.91,25355700,133.51
"2007-07-18",138.19,138.44,136.04,138.12,27030600,132.75
"2007-07-19",140.3,140.81,139.65,140,26174700,134.56
"2007-07-20",141.65,144.18,140,143.75,41706200,138.17
"2007-07-23",143.31,145.22,140.93,143.7,37017500,138.12
"2007-07-24",138.88,141,134.15,134.89,64117600,129.65
"2007-07-25",137.35,138.36,135,137.26,53435100,131.93
"2007-07-26",145.91,148.5,136.96,146,78093900,140.33
"2007-07-27",146.19,148.92,143.78,143.85,41467800,138.26
"2007-07-30",144.33,145.45,139.57,141.43,39535300,135.94
"2007-07-31",142.97,143.48,131.52,131.76,62942600,126.64
"2007-08-01",133.64,135.38,127.77,135,62505600,129.76
"2007-08-02",136.65,136.96,134.15,136.49,30451600,131.19
"2007-08-03",135.26,135.95,131.5,131.85,24256700,126.73
"2007-08-06",132.9,135.27,128.3,135.25,33041800,130
"2007-08-07",134.94,137.24,132.63,135.03,33926300,129.78
"2007-08-08",136.76,136.86,132,134.01,28860600,128.8
"2007-08-09",131.11,133,125.09,126.39,40192700,121.48
"2007-08-10",123.12,127.75,120.3,125,50383900,120.14
"2007-08-13",128.32,129.35,126.5,127.79,26889700,122.83
"2007-08-14",128.29,128.3,123.71,124.03,26393100,119.21
"2007-08-15",122.74,124.86,119.65,119.9,35459000,115.24
"2007-08-16",117.01,118.5,111.62,117.05,66667500,112.5
"2007-08-17",122.01,123.5,119.82,122.06,42680800,117.32
"2007-08-20",123.96,124.5,120.5,122.22,28689900,117.47
"2007-08-21",122.21,128.96,121,127.57,46537400,122.61
"2007-08-22",131.22,132.75,130.33,132.51,37920200,127.36
"2007-08-23",133.09,133.34,129.76,131.07,30958500,125.98
"2007-08-24",130.53,135.37,129.81,135.3,32565500,130.04
"2007-08-27",133.39,134.66,132.1,132.25,25265700,127.11
"2007-08-28",130.99,132.41,126.63,126.82,42120200,121.89
"2007-08-29",129.88,134.18,129.54,134.08,41673600,128.87
"2007-08-30",132.67,138.25,132.3,136.25,51270800,130.96
"2007-08-31",139.49,139.65,137.41,138.48,31317400,133.1
"2007-09-04",139.94,145.73,139.84,144.16,47030100,138.56
"2007-09-05",144.97,145.84,136.1,136.76,83150800,131.45
"2007-09-06",135.56,137.57,132.71,135.01,67902200,129.77
"2007-09-07",132.01,132.3,130,131.77,51092000,126.65
"2007-09-10",136.99,138.04,133.95,136.71,53137100,131.4
"2007-09-11",137.9,138.3,133.75,135.49,34710200,130.23
"2007-09-12",135.99,139.4,135.75,136.85,36527500,131.53
"2007-09-13",138.83,139,136.65,137.2,23434400,131.87
"2007-09-14",136.57,138.98,136.2,138.81,21690000,133.42
"2007-09-17",138.99,140.59,137.6,138.41,28334700,133.03
"2007-09-18",139.06,142.85,137.83,140.92,38003200,135.45
"2007-09-19",143.02,143.16,139.4,140.77,36674300,135.3
"2007-09-20",140.15,141.79,139.32,140.31,24708600,134.86
"2007-09-21",141.14,144.65,140.31,144.15,40674300,138.55
"2007-09-24",146.73,149.85,146.65,148.28,37577200,142.52
"2007-09-25",146.84,153.22,146.82,153.18,42591100,147.23
"2007-09-26",154.47,155,151.25,152.77,34831000,146.84
"2007-09-27",153.77,154.52,152.32,154.5,23507100,148.5
"2007-09-28",153.44,154.6,152.75,153.47,21967900,147.51
"2007-10-01",154.63,157.41,152.93,156.34,29895300,150.27
"2007-10-02",156.55,158.59,155.89,158.45,28288200,152.29
"2007-10-03",157.78,159.18,157.01,157.92,24732800,151.79
"2007-10-04",158,158.08,153.5,156.24,23462800,150.17
"2007-10-05",158.37,161.58,157.7,161.45,33695400,155.18
"2007-10-08",163.49,167.91,162.97,167.91,29854600,161.39
"2007-10-09",170.2,171.11,166.68,167.86,39438800,161.34
"2007-10-10",167.55,167.88,165.6,166.79,23842500,160.31
"2007-10-11",169.49,171.88,153.21,162.23,58714000,155.93
"2007-10-12",163.01,167.28,161.8,167.25,35292000,160.75
"2007-10-15",167.98,169.57,163.5,166.98,38497500,160.49
"2007-10-16",165.54,170.18,165.15,169.58,38136800,162.99
"2007-10-17",172.69,173.04,169.18,172.75,40271900,166.04
"2007-10-18",171.5,174.19,171.05,173.5,29417000,166.76
"2007-10-19",174.24,174.63,170,170.42,46135000,163.8
"2007-10-22",170.35,174.9,169.96,174.36,58910700,167.59
"2007-10-23",188.56,188.6,182.76,186.16,64113000,178.93
"2007-10-24",185.81,187.21,179.24,185.93,46017200,178.71
"2007-10-25",184.87,185.9,181.66,182.78,34771500,175.68
"2007-10-26",185.29,185.37,182.88,184.7,25219800,177.53
"2007-10-29",185.45,186.59,184.7,185.09,19305500,177.9
"2007-10-30",186.18,189.37,184.73,187,33550500,179.74
"2007-10-31",187.63,190.12,184.95,189.95,29761100,182.57
"2007-11-01",188.6,190.1,180,187.44,28751300,180.16
"2007-11-02",189.21,189.44,183.49,187.87,35789800,180.57
"2007-11-05",185.29,188.96,184.24,186.18,28720600,178.95
"2007-11-06",187.05,192,185.27,191.79,34097400,184.34
"2007-11-07",190.61,192.68,186.13,186.3,35473400,179.06
"2007-11-08",186.67,186.9,167.77,175.47,67458500,168.65
"2007-11-09",171.15,175.12,165.21,165.37,54458700,158.95
"2007-11-12",165.28,167.7,150.63,153.76,63057700,147.79
"2007-11-13",160.85,170.98,153.76,169.96,62034100,163.36
"2007-11-14",177.16,177.57,163.74,166.11,51695400,159.66
"2007-11-15",166.39,169.59,160.3,164.3,53095600,157.92
"2007-11-16",165.3,167.02,159.33,166.39,49391300,159.93
"2007-11-19",166.1,168.2,162.1,163.95,41196800,157.58
"2007-11-20",165.67,171.79,163.53,168.85,55130100,162.29
"2007-11-21",165.84,172.35,164.67,168.46,43493200,161.92
"2007-11-23",172,172.05,169.75,171.54,16634200,164.88
"2007-11-26",173.59,177.27,172.35,172.54,46634100,165.84
"2007-11-27",175.22,175.79,170.01,174.81,47036800,168.02
"2007-11-28",176.82,180.6,175.35,180.22,41104000,173.22
"2007-11-29",179.43,185.17,179.15,184.29,37533100,177.13
"2007-11-30",187.34,187.7,179.7,182.22,42421500,175.14
"2007-12-03",181.86,184.14,177.7,178.86,34338200,171.91
"2007-12-04",177.15,180.9,176.99,179.81,27635700,172.83
"2007-12-05",182.89,186,182.41,185.5,31871500,178.29
"2007-12-06",186.19,190.1,186.12,189.95,32136100,182.57
"2007-12-07",190.54,194.99,188.04,194.3,38073800,186.75
"2007-12-10",193.59,195.66,192.69,194.21,25799200,186.67
"2007-12-11",194.75,196.83,187.39,188.54,39675900,181.22
"2007-12-12",193.44,194.48,185.76,190.86,43773600,183.45
"2007-12-13",190.19,192.12,187.82,191.83,30879200,184.38
"2007-12-14",190.37,193.2,189.54,190.39,24082600,182.99
"2007-12-17",190.72,192.65,182.98,184.4,36596200,177.24
"2007-12-18",186.52,187.33,178.6,182.98,43664400,175.87
"2007-12-19",182.98,184.64,180.9,183.12,29552800,176.01
"2007-12-20",185.43,187.83,183.33,187.21,27644900,179.94
"2007-12-21",190.12,193.91,189.89,193.91,35498600,186.38
"2007-12-24",195.03,199.33,194.79,198.8,17150100,191.08
"2007-12-26",199.01,200.96,196.82,198.95,25133300,191.22
"2007-12-27",198.95,202.96,197.8,198.57,28411700,190.86
"2007-12-28",200.59,201.56,196.88,199.83,24987400,192.07
"2007-12-31",199.5,200.5,197.75,198.08,19261900,190.39
"2008-01-02",199.27,200.26,192.55,194.84,38542100,187.27
"2008-01-03",195.41,197.39,192.69,194.93,30073800,187.36
"2008-01-04",191.45,193,178.89,180.05,51994000,173.06
"2008-01-07",181.25,183.6,170.23,177.64,74006900,170.74
"2008-01-08",180.14,182.46,170.8,171.25,54422000,164.6
"2008-01-09",171.3,179.5,168.3,179.4,64781500,172.43
"2008-01-10",177.58,181,175.41,178.02,52963400,171.1
"2008-01-11",176,177.85,170,172.69,44010200,165.98
"2008-01-14",177.52,179.42,175.17,178.78,39301800,171.84
"2008-01-15",177.72,179.22,164.66,169.04,83688500,162.47
"2008-01-16",165.23,169.01,156.7,159.64,79065900,153.44
"2008-01-17",161.51,165.36,158.42,160.89,62780700,154.64
"2008-01-18",161.71,165.75,159.61,161.36,61583700,155.09
"2008-01-22",148.06,159.98,146,155.64,86955500,149.59
"2008-01-23",136.19,140,126.14,139.07,120463200,133.67
"2008-01-24",139.99,140.7,132.01,135.6,71638100,130.33
"2008-01-25",138.99,139.09,129.61,130.01,55526400,124.96
"2008-01-28",128.16,133.2,126.45,130.01,52673000,124.96
"2008-01-29",131.15,132.79,129.05,131.54,39285100,126.43
"2008-01-30",131.37,135.45,130,132.18,44394700,127.05
"2008-01-31",129.45,136.65,129.4,135.36,48059800,130.1
"2008-02-01",136.24,136.59,132.18,133.75,36098000,128.55
"2008-02-04",134.21,135.9,131.42,131.65,32115500,126.54
"2008-02-05",130.43,134,128.9,129.36,40751500,124.33
"2008-02-06",130.83,131.92,121.77,122,56188300,117.26
"2008-02-07",119.97,124.78,117.27,121.24,74404700,116.53
"2008-02-08",122.08,125.7,121.6,125.48,48427600,120.61
"2008-02-11",128.01,129.98,127.2,129.45,42908300,124.42
"2008-02-12",130.7,131,123.62,124.86,43785000,120.01
"2008-02-13",126.68,129.78,125.63,129.4,34590500,124.37
"2008-02-14",129.4,130.8,127.01,127.46,34074900,122.51
"2008-02-15",126.27,127.08,124.06,124.63,32189300,119.79
"2008-02-19",125.99,126.75,121.44,122.18,35894500,117.43
"2008-02-20",122.2,124.6,121.68,123.82,34551400,119.01
"2008-02-21",126.05,126.47,120.86,121.54,33504100,116.82
"2008-02-22",122.48,122.51,115.87,119.46,54638500,114.82
"2008-02-25",118.59,120.17,116.66,119.74,44884800,115.09
"2008-02-26",117.64,121.09,115.44,119.15,53746000,114.52
"2008-02-27",118.23,123.05,118.09,122.96,52683500,118.18
"2008-02-28",127.2,132.2,125.77,129.91,57794800,124.86
"2008-02-29",129.29,130.21,124.8,125.02,44838600,120.16
"2008-03-03",124.44,125.98,118,121.73,56894400,117
"2008-03-04",121.99,124.88,120.4,124.62,63763700,119.78
"2008-03-05",123.58,125.14,122.25,124.49,43637000,119.65
"2008-03-06",124.61,127.5,120.81,120.93,52632100,116.23
"2008-03-07",120.41,122.98,119.05,122.25,43945100,117.5
"2008-03-10",121.98,123.46,119.37,119.69,35699600,115.04
"2008-03-11",124.1,127.48,122,127.35,41569400,122.4
"2008-03-12",127.04,128.68,125.17,126.03,37843900,121.13
"2008-03-13",124.1,129.5,123,127.94,45075100,122.97
"2008-03-14",129.88,130.3,124.2,126.61,41308600,121.69
"2008-03-17",122.55,128.59,122.55,126.73,38307100,121.81
"2008-03-18",129.18,133,128.67,132.82,43040000,127.66
"2008-03-19",133.12,134.29,129.67,129.67,36090600,124.63
"2008-03-20",131.12,133.29,129.18,133.27,32456700,128.09
"2008-03-24",134.01,140.85,133.64,139.53,38104300,134.11
"2008-03-25",139.96,143.1,137.33,140.98,37585400,135.5
"2008-03-26",140.87,145.74,140.64,145.06,42217300,139.43
"2008-03-27",144.95,145.31,139.99,140.25,35708200,134.8
"2008-03-28",141.8,144.65,141.6,143.01,25521800,137.45
"2008-03-31",143.27,145.71,142.52,143.5,27430900,137.93
"2008-04-01",146.3,149.66,143.61,149.53,36877400,143.72
"2008-04-02",148.78,151.2,145.85,147.49,37320300,141.76
"2008-04-03",147.06,153.63,147,151.61,37556000,145.72
"2008-04-04",152.19,154.71,150.75,153.08,30514900,147.13
"2008-04-07",156.13,159.69,155.11,155.89,41368800,149.83
"2008-04-08",153.55,156.45,152.32,152.84,36224800,146.9
"2008-04-09",153.31,153.89,150.46,151.44,31192800,145.56
"2008-04-10",151.13,155.42,150.6,154.55,34134400,148.55
"2008-04-11",152.72,153.3,146.4,147.14,43217000,141.42
"2008-04-14",146.77,149.25,144.54,147.78,30181700,142.04
"2008-04-15",149.4,149.72,145.72,148.38,24929900,142.62
"2008-04-16",151.72,154.1,150.62,153.7,28420500,147.73
"2008-04-17",154.17,156,153.35,154.49,25152400,148.49
"2008-04-18",159.12,162.26,158.38,161.04,36670200,154.78
"2008-04-21",162.21,168.5,161.76,168.16,37112600,161.63
"2008-04-22",167.4,168,158.09,160.2,51413300,153.98
"2008-04-23",164.05,164.84,161.08,162.89,53721100,156.56
"2008-04-24",165.34,169.98,159.19,168.94,60573800,162.38
"2008-04-25",170.7,171.1,166.42,169.73,35445500,163.14
"2008-04-28",169.75,173.75,169.13,172.24,28114800,165.55
"2008-04-29",171.11,175.66,170.25,175.05,32981300,168.25
"2008-04-30",176.19,180,172.92,173.95,40697300,167.19
"2008-05-01",174.96,180,174.86,180,32270600,173.01
"2008-05-02",180.19,181.92,178.55,180.94,35931500,173.91
"2008-05-05",181.92,185.31,181.05,184.73,30519900,177.55
"2008-05-06",184.66,187.12,182.18,186.66,32816800,179.41
"2008-05-07",186.05,188.2,180.54,182.59,41326200,175.5
"2008-05-08",183.77,186.5,183.07,185.06,32110200,177.87
"2008-05-09",183.16,184.25,181.37,183.45,24038300,176.32
"2008-05-12",185.21,188.87,182.85,188.16,29234400,180.85
"2008-05-13",188.61,191.45,187.86,189.96,29401300,182.58
"2008-05-14",191.23,192.24,185.57,186.26,32743700,179.02
"2008-05-15",186.81,189.9,184.2,189.73,31186000,182.36
"2008-05-16",190.11,190.3,187,187.62,27348900,180.33
"2008-05-19",187.86,188.69,181.3,183.6,33779300,176.47
"2008-05-20",181.82,186.16,180.12,185.9,34637500,178.68
"2008-05-21",185.67,187.95,176.25,178.19,41344900,171.27
"2008-05-22",179.26,181.33,172,177.05,43097700,170.17
"2008-05-23",180.77,181.99,177.8,181.17,32389900,174.13
"2008-05-27",182.75,186.43,181.84,186.43,28210900,179.19
"2008-05-28",187.41,187.95,183.72,187.01,26570700,179.75
"2008-05-29",186.76,188.2,185.5,186.69,23113800,179.44
"2008-05-30",187.45,189.54,187.38,188.75,21792300,181.42
"2008-06-02",188.6,189.65,184.53,186.1,24280000,178.87
"2008-06-03",186.86,188.2,182.34,185.37,26804300,178.17
"2008-06-04",184.02,187.09,183.23,185.19,25963700,178
"2008-06-05",186.34,189.84,185.7,189.43,26980200,182.07
"2008-06-06",188,189.95,185.55,185.64,34438700,178.43
"2008-06-09",184.79,184.94,175.75,181.61,67442600,174.56
"2008-06-10",180.51,186.78,179.02,185.64,40728600,178.43
"2008-06-11",184.34,186,179.59,180.81,34341100,173.79
"2008-06-12",181.49,182.6,171.2,173.26,46726200,166.53
"2008-06-13",171.64,174.16,165.31,172.37,48069900,165.67
"2008-06-16",171.3,177.9,169.07,176.84,37561800,169.97
"2008-06-17",178.1,181.99,177.41,181.43,32130600,174.38
"2008-06-18",181.12,182.2,177.35,178.75,28981000,171.81
"2008-06-19",178.55,182.34,176.8,180.9,28283900,173.87
"2008-06-20",179.35,181,175,175.27,31727400,168.46
"2008-06-23",174.74,175.88,171.56,173.16,23063600,166.43
"2008-06-24",172.37,175.78,171.63,173.25,22212400,166.52
"2008-06-25",174.61,178.83,173.88,177.39,23016100,170.5
"2008-06-26",174.07,174.84,168.01,168.26,31057500,161.72
"2008-06-27",166.51,170.57,164.15,170.09,37223200,163.48
"2008-06-30",170.19,172,166.62,167.44,24435600,160.94
"2008-07-01",164.23,174.72,164,174.68,39688600,167.89
"2008-07-02",175.2,177.45,168.18,168.18,29911400,161.65
"2008-07-03",169.59,172.17,165.75,170.12,18691500,163.51
"2008-07-07",173.16,177.13,171.9,175.16,29299700,168.36
"2008-07-08",175.4,179.7,172.74,179.55,31726800,172.58
"2008-07-09",180.2,180.91,174.14,174.25,31992000,167.48
"2008-07-10",174.92,177.34,171.37,176.63,30024600,169.77
"2008-07-11",175.47,177.11,171,172.58,33214700,165.88
"2008-07-14",179.24,179.3,173.08,173.88,31644800,167.13
"2008-07-15",172.48,173.74,166.39,169.64,37144400,163.05
"2008-07-16",170.2,172.93,168.6,172.81,26706800,166.1
"2008-07-17",174.1,174.98,171.39,171.81,27054500,165.14
"2008-07-18",168.52,169.65,165,165.15,31014800,158.73
"2008-07-21",166.9,167.5,161.12,166.29,48588200,159.83
"2008-07-22",149,162.76,146.53,162.02,67128300,155.73
"2008-07-23",164.99,168.37,161.56,166.26,37920300,159.8
"2008-07-24",164.32,165.26,158.45,159.03,29986400,152.85
"2008-07-25",160.4,163,158.65,162.12,22629900,155.82
"2008-07-28",162.34,162.47,154.02,154.4,27882600,148.4
"2008-07-29",155.41,159.45,153.65,157.08,24431100,150.98
"2008-07-30",157.78,160.49,156.08,159.88,25899400,153.67
"2008-07-31",157.54,162.2,156.98,158.95,22767800,152.78
"2008-08-01",159.9,159.99,155.75,156.66,19451400,150.57
"2008-08-04",156.6,157.9,152.91,153.23,21161700,147.28
"2008-08-05",155.42,160.8,154.82,160.64,24584700,154.4
"2008-08-06",159.97,167.4,158,164.19,28264600,157.81
"2008-08-07",162.71,166.15,161.5,163.57,24013300,157.22
"2008-08-08",163.86,169.65,163.75,169.55,25499900,162.96
"2008-08-11",170.07,176.5,169.67,173.56,31832300,166.82
"2008-08-12",173.52,179.29,173.51,176.73,29867100,169.86
"2008-08-13",177.98,180,175.9,179.3,30083800,172.34
"2008-08-14",178.33,180.45,177.84,179.32,25403600,172.35
"2008-08-15",179.04,179.75,175.05,175.74,25294700,168.91
"2008-08-18",175.57,177.81,173.82,175.39,19714800,168.58
"2008-08-19",174.54,177.07,171.81,173.53,22007300,166.79
"2008-08-20",174.77,176.94,173.61,175.84,18105400,169.01
"2008-08-21",174.47,175.45,171.89,174.29,19276600,167.52
"2008-08-22",175.82,177.5,175.57,176.79,15700400,169.92
"2008-08-25",176.15,176.23,171.66,172.55,17300900,165.85
"2008-08-26",172.76,174.88,172.61,173.64,15912500,166.89
"2008-08-27",173.31,175.76,172.19,174.67,17063600,167.88
"2008-08-28",175.28,176.25,172.75,173.74,15406600,166.99
"2008-08-29",172.96,173.5,169.04,169.53,21403200,162.94
"2008-09-02",172.4,173.5,165,166.19,27884400,159.73
"2008-09-03",166.84,168.68,164,166.96,26244100,160.47
"2008-09-04",165.86,167.91,160.81,161.22,26549500,154.96
"2008-09-05",158.59,162.4,157.65,160.18,28103000,153.96
"2008-09-08",164.57,164.89,151.46,157.92,37356400,151.79
"2008-09-09",156.86,159.96,149.79,151.68,44465200,145.79
"2008-09-10",152.32,154.99,148.8,151.61,34755100,145.72
"2008-09-11",148.18,152.99,146,152.65,34683400,146.72
"2008-09-12",150.91,150.91,146.5,148.94,28322400,143.15
"2008-09-15",142.03,147.69,140.36,140.36,32879800,134.91
"2008-09-16",133.86,142.5,132.15,139.88,42851300,134.45
"2008-09-17",138.49,138.51,127.83,127.83,42873400,122.86
"2008-09-18",130.57,135.43,120.68,134.09,59866200,128.88
"2008-09-19",142.6,144.2,136.31,140.91,51102700,135.44
"2008-09-22",139.94,140.25,130.66,131.05,30596900,125.96
"2008-09-23",131.85,135.8,126.66,126.84,45727300,121.91
"2008-09-24",127.27,130.95,125.15,128.71,37393400,123.71
"2008-09-25",129.8,134.79,128.52,131.93,35930200,126.81
"2008-09-26",124.91,129.8,123,128.24,40230400,123.26
"2008-09-29",119.62,119.68,100.59,105.26,93644900,101.17
