"","BEN.Open","BEN.High","BEN.Low","BEN.Close","BEN.Volume","BEN.Adjusted"
"2008-03-27",101.44,102.08,99.19,99.46,6100200,29.88
"2008-03-28",99.27,100,94.6,94.62,5794200,28.43
"2008-03-31",94.57,98.4,93.7,96.99,5216700,29.14
"2008-04-01",98.7,104.58,98.38,104.58,5208300,31.42
"2008-04-02",104.46,105.2,102.28,102.81,4756200,30.89
"2008-04-03",102.39,105.31,101.49,103.38,3541500,31.06
"2008-04-04",103.15,103.5,100.88,101.21,2958000,30.41
"2008-04-07",102.02,103.67,100.85,101.5,4172400,30.49
"2008-04-08",102.67,105.21,102.28,104.01,5401800,31.25
"2008-04-09",104.54,104.54,99.57,99.57,5235900,29.91
"2008-04-10",99.79,102.36,99.13,100.87,5425800,30.3
"2008-04-11",99.37,100.48,97.66,97.8,5143500,29.38
"2008-04-14",97.08,98.18,96.14,96.24,3708600,28.91
"2008-04-15",96.95,98.27,96.54,98.09,3741900,29.47
"2008-04-16",99.12,103.6,98.94,103.37,4761900,31.06
"2008-04-17",102.94,103.78,100.67,102.26,5602500,30.72
"2008-04-18",102.51,103.65,99.5,99.96,8769000,30.03
"2008-04-21",99.28,99.85,97.55,98.19,6319500,29.5
"2008-04-22",97.81,98.12,94.47,94.82,7464600,28.49
"2008-04-23",94.76,96.76,94.04,95.76,7824000,28.77
"2008-04-24",93,94.54,91.21,93.88,11263500,28.2
"2008-04-25",93.04,93.92,91.24,93.64,6983700,28.13
"2008-04-28",93.81,96.5,93.7,95.96,8046000,28.83
"2008-04-29",96.02,96.63,94.61,96.31,5956800,28.93
"2008-04-30",96.61,97.22,94.72,95.15,6638400,28.59
"2008-05-01",95.53,100.48,94.92,100.48,7718100,30.19
"2008-05-02",100.88,103,99.7,101.84,6397500,30.6
"2008-05-05",100.95,102.22,99.29,100.5,4732200,30.19
"2008-05-06",99.14,102.38,97.86,102,5037000,30.64
"2008-05-07",101.32,101.38,97.97,98.01,6030000,29.45
"2008-05-08",98.19,98.82,96.69,97.48,4329000,29.29
"2008-05-09",97.26,102.76,96.82,99.93,5836800,30.02
"2008-05-12",100.21,102.97,99.77,102.48,3056700,30.79
"2008-05-13",102.99,103.74,101.59,102.33,3504600,30.74
"2008-05-14",102.75,103.9,101.75,102.24,5449500,30.72
"2008-05-15",102.17,103.74,101.85,103.7,3448200,31.15
"2008-05-16",103.62,103.63,102.01,103.17,3338700,31
"2008-05-19",103.41,105.31,102.67,103.78,3924000,31.18
"2008-05-20",102.17,102.25,100.67,101.63,4442400,30.53
"2008-05-21",101.62,102.3,99.53,99.57,5943900,29.91
"2008-05-22",99.55,100.96,98.6,99.39,5860200,29.86
"2008-05-23",98.72,99.02,97.74,97.77,4366800,29.37
"2008-05-27",97.84,99.08,97.5,98.48,3754800,29.59
"2008-05-28",98.78,98.99,96.59,98.66,5598600,29.64
"2008-05-29",98.62,100.71,97.05,98.87,6652500,29.7
"2008-05-30",100.01,102.49,99.63,101.22,6465900,30.41
"2008-06-02",101.22,101.76,99.15,100.24,4742700,30.12
"2008-06-03",100.35,102.23,99.24,101.34,4510800,30.45
"2008-06-04",101,103.06,100.56,102.12,4936200,30.68
"2008-06-05",102.5,105.56,102.18,105.52,4875000,31.7
"2008-06-06",103.73,104.33,99.3,99.63,6175800,29.93
"2008-06-09",100.66,101.24,98.39,99.67,4989000,29.94
"2008-06-10",98.31,103.45,96.99,102.1,5682000,30.67
"2008-06-11",101.25,102.34,97.92,97.98,5995200,29.44
"2008-06-12",100.76,104.91,100.65,103,7335300,30.94
"2008-06-13",104.3,106.94,102.62,106.78,4464300,32.08
"2008-06-16",105.99,107.8,104.56,107.14,3194100,32.19
"2008-06-17",107.63,108,102.84,103,4018500,30.94
"2008-06-18",101.88,103.74,101.25,102.77,4658700,30.88
"2008-06-19",102.77,104.28,101.12,104.04,6032100,31.26
"2008-06-20",103.33,103.36,99.43,100.42,9132000,30.17
"2008-06-23",100.98,100.99,98.04,99.56,5575200,29.91
"2008-06-24",99.62,100.98,98.27,98.97,7840200,29.73
"2008-06-25",99.76,100.28,97.03,97.3,7753500,29.23
"2008-06-26",96.39,96.73,94.68,94.97,7415100,28.59
"2008-06-27",95.13,96.4,94.24,95.77,9197400,28.83
"2008-06-30",95.72,95.81,91.23,91.65,10921500,27.59
"2008-07-01",90.63,94.66,90.1,94.33,12333900,28.4
"2008-07-02",94.63,94.63,90.85,90.85,7683900,27.35
"2008-07-03",91.88,92.27,90.63,91.14,4595100,27.44
"2008-07-07",91.45,92.14,87.88,89.03,8271600,26.8
"2008-07-08",88.5,93.49,87.36,92.8,7457100,27.94
"2008-07-09",93.09,93.77,87.32,87.5,7251000,26.34
"2008-07-10",86.96,89.95,85.39,89.7,9323700,27
"2008-07-11",88.48,91.25,86.36,88.4,9105900,26.61
"2008-07-14",89.65,90.17,84.3,84.34,5868000,25.39
"2008-07-15",83.56,86.32,81.65,83.01,9733200,24.99
"2008-07-16",84.21,88.78,81.96,88.57,10928400,26.66
"2008-07-17",89.22,93.19,88.86,92.78,7777500,27.93
"2008-07-18",92.68,93.09,88.12,92.68,8201700,27.9
"2008-07-21",93.24,93.5,89.97,90.48,4028100,27.24
"2008-07-22",87.81,97.54,87.73,97.37,6616800,29.31
"2008-07-23",97.01,100.64,95.23,99.96,12113400,30.09
"2008-07-24",97.83,102.63,94.59,95.19,7441800,28.66
"2008-07-25",96.08,97.24,92.26,96.16,5316900,28.95
"2008-07-28",95,96.34,92.43,95.01,7673400,28.6
"2008-07-29",95.03,99.55,95.03,99.41,7106700,29.93
"2008-07-30",100.12,102.48,97.34,100.21,6371100,30.17
"2008-07-31",98.13,101.96,98.13,100.61,4897800,30.29
"2008-08-01",100.37,101,98.36,100.38,4941900,30.22
"2008-08-04",99.37,102,98.33,100.51,3603000,30.26
"2008-08-05",101.52,106.56,101.52,106.19,6039600,31.97
"2008-08-06",106.18,106.18,103.06,104.44,4627500,31.44
"2008-08-07",103.04,103.04,99.11,100.17,4601100,30.16
"2008-08-08",100.27,105.24,99.91,104.49,3665700,31.46
"2008-08-11",103.51,108.99,102.56,106.7,3474600,32.12
"2008-08-12",103.57,105.44,101.41,102.19,5040600,30.76
"2008-08-13",101.41,101.92,98.28,99.96,5220600,30.09
"2008-08-14",98.92,102.96,98.77,102.54,3054300,30.87
"2008-08-15",105.1,108.17,104.73,105.48,5608800,31.75
"2008-08-18",105.7,105.74,101.36,101.69,4861200,30.61
"2008-08-19",100.93,100.95,98.1,98.9,3713400,29.77
"2008-08-20",99.1,100.5,97.2,99.51,4554000,29.96
"2008-08-21",97.78,100.26,97.35,99.65,2869800,30
"2008-08-22",100.81,102,99.89,102,2484000,30.71
"2008-08-25",101.43,101.63,99.91,99.97,3153600,30.1
"2008-08-26",99.68,100.58,98.41,100.07,2277300,30.13
"2008-08-27",99.3,102.12,99.23,101.98,2260800,30.7
"2008-08-28",102.73,105.97,102.63,105.91,3419100,31.88
"2008-08-29",104.55,105.74,103.7,104.5,2103000,31.46
"2008-09-02",105.01,107.61,103.46,105.22,3182400,31.68
"2008-09-03",104.79,106,103.52,105.77,3080400,31.84
"2008-09-04",105,106.46,101.25,101.56,4811400,30.57
"2008-09-05",100,100.85,97.77,100.67,6909600,30.31
"2008-09-08",105.01,106.77,100.75,104.83,10313400,31.56
"2008-09-09",103.81,104.92,97.65,97.78,8696700,29.44
"2008-09-10",96.93,98.47,95.11,96.82,10762800,29.15
"2008-09-11",93.63,96.1,92.16,95.87,10230000,28.86
"2008-09-12",94.36,97.12,94.06,95.75,4862100,28.83
"2008-09-15",91.19,95.62,89.3,89.3,9818100,26.88
"2008-09-16",88.01,95,85.03,94.76,10699200,28.53
"2008-09-17",91.98,93.47,87,89.4,12232800,26.91
"2008-09-18",88.01,93.87,81.36,93.37,15837600,28.11
"2008-09-19",106.26,108,97.68,108,12586200,32.51
"2008-09-22",105.54,109,94.62,96.77,6008400,29.13
"2008-09-23",96.76,97.99,95,95.81,2520600,28.84
"2008-09-24",95.96,98.21,94.06,95,3381300,28.6
"2008-09-25",96.21,97.44,95.04,95.89,2482200,28.87
