"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2008-11-11",43.5,43.5,39.83,40.44,2646600,19.36
"2008-11-12",39.43,39.66,35.96,36.19,2997400,17.33
"2008-11-13",36.5,39.42,33.95,39.42,4454200,18.87
"2008-11-14",39.01,40.4,36.79,37,3082200,17.71
"2008-11-17",36.67,38.63,35.12,36.45,2429800,17.45
"2008-11-18",35.52,37.93,34.11,35.32,3276600,16.91
"2008-11-19",35.4,35.76,31.88,32,3124200,15.32
"2008-11-20",31.35,33.91,30.01,30.98,4532000,14.83
"2008-11-21",32,34.51,30.56,34.51,5038600,16.52
"2008-11-24",34.91,38.45,33.47,37.48,4101800,17.94
"2008-11-25",36.75,40.36,36.74,39.96,3120000,19.13
"2008-11-26",38.97,41.92,38.35,41.63,2020600,19.93
"2008-11-28",42.45,43.7,40.67,43.7,1138000,20.92
"2008-12-01",42.99,42.99,35.56,35.56,3595200,17.02
"2008-12-02",36.62,39.63,36.33,38.91,2963800,18.63
"2008-12-03",38.18,39.58,36.66,38.4,2677400,18.38
"2008-12-04",37.72,38.65,35.66,36.4,2123600,17.43
"2008-12-05",36.1,39.26,34,39.22,3128000,18.78
"2008-12-08",40.34,42.23,40.3,41.98,2693000,20.1
"2008-12-09",42.06,44.95,40.73,43.43,2954200,20.79
"2008-12-10",43.91,47.23,43.48,46.22,2672800,22.13
"2008-12-11",46.1,47.22,42.01,42.49,3032200,20.34
"2008-12-12",41.95,45.36,40.52,44.47,1692600,21.29
"2008-12-15",44.97,45.62,42.15,42.76,1721200,20.47
"2008-12-16",43.3,46.06,43.3,45.71,2414800,21.88
"2008-12-17",45.8,45.91,43.86,44.25,2291600,21.19
"2008-12-18",44.66,45,40.87,41.45,2377000,19.84
"2008-12-19",41.55,43.26,41.25,42.64,2646200,20.41
"2008-12-22",42.75,42.77,40,41.14,2008800,19.7
"2008-12-23",41.77,42.32,40.1,41.08,1246600,19.67
"2008-12-24",41.17,41.44,40.01,40.92,337200,19.59
"2008-12-26",41.02,42.38,40.73,42.36,512800,20.28
"2008-12-29",42.38,42.82,40.56,42.11,1240400,20.22
"2008-12-30",42.08,44.81,40.9,44.64,1754600,21.44
"2008-12-31",44.55,45,43.75,44.73,1297000,21.48
"2009-01-02",44.99,45.64,43.86,45.42,2194400,21.81
"2009-01-05",45.32,46.44,43.93,45.96,1743800,22.07
"2009-01-06",46.62,47.66,45.06,47.25,2596800,22.69
"2009-01-07",46.9,47.16,45.49,45.77,1739400,21.98
"2009-01-08",45.61,46.92,45.26,46.76,1170000,22.45
"2009-01-09",46.95,47.29,44.94,45.17,1485400,21.69
"2009-01-12",44.87,44.95,41.62,42.19,1931000,20.26
"2009-01-13",41.91,44.17,41.55,43.59,1481800,20.93
"2009-01-14",42.92,42.92,40.42,41.03,2385200,19.7
"2009-01-15",40.81,44.49,39.96,43.86,2508200,21.06
"2009-01-16",44.93,46.15,43.67,45.13,1944000,21.67
"2009-01-20",45.2,45.54,42,42.18,2098600,20.25
"2009-01-21",43.15,46.22,42.92,46.22,2557000,22.19
"2009-01-22",44.46,46.24,43.6,45.31,1970000,21.76
"2009-01-23",44.04,46.97,43.57,45.65,1970800,21.92
"2009-01-26",46.07,47.51,44.96,45.61,1657200,21.9
"2009-01-27",46,46.81,44.86,45.83,1215800,22.01
"2009-01-28",47.15,47.32,45.95,47.02,1714400,22.58
"2009-01-29",46.38,47.31,45.89,46.15,1181600,22.16
"2009-01-30",46.78,46.97,44.1,44.62,1539200,21.43
"2009-02-02",43.79,45.54,43.12,44.36,2248000,21.3
"2009-02-03",44.44,45.16,43.79,44.84,1912400,21.53
"2009-02-04",45.23,45.97,44.15,44.47,2354000,21.35
"2009-02-05",43.72,47.39,42.84,47.19,2861400,22.66
"2009-02-06",47.61,51.33,46.81,51.18,3898600,24.58
"2009-02-09",51.34,52,50.25,51.08,2126200,24.53
"2009-02-10",49.94,51,47.16,47.75,2197800,22.93
"2009-02-11",48.21,49.42,47.31,48.49,1627600,23.28
"2009-02-12",47.28,48.67,46.12,48.61,1331800,23.34
"2009-02-13",47.91,49.18,47.56,47.56,1373600,22.84
"2009-02-17",45.84,46.38,44.34,45.42,1649200,21.81
"2009-02-18",45.69,45.8,44.21,44.76,1216200,21.49
"2009-02-19",45.34,46.54,44.26,44.44,1329600,21.34
"2009-02-20",43.46,44.17,42.39,43.72,1466800,20.99
"2009-02-23",44.11,44.86,40.91,41.05,1819800,19.71
"2009-02-24",41.5,43.83,41.13,43.29,1961200,20.79
"2009-02-25",43.03,43.45,41.03,41.49,1472000,19.92
"2009-02-26",42.82,42.93,40.76,40.78,1357600,19.58
"2009-02-27",40.25,41.68,39.25,40.43,1560200,19.41
"2009-03-02",39.23,39.64,36.38,36.53,2523000,17.54
"2009-03-03",37.28,38.14,36.48,37.26,1566600,17.89
"2009-03-04",37.87,40.26,37.78,39.49,1998000,18.96
"2009-03-05",38.51,38.66,36.26,36.61,1292000,17.58
"2009-03-06",37.03,37.59,34.9,35.93,1882800,17.25
"2009-03-09",35.5,36.7,35,35.27,1424800,16.94
"2009-03-10",35.86,38.22,35.84,38.15,1876400,18.32
"2009-03-11",38.57,39.45,38.01,38.9,1547000,18.68
"2009-03-12",38.81,39.35,37.77,39.15,2046600,18.8
"2009-03-13",39.71,39.71,38.6,39.26,1751400,18.85
"2009-03-16",39.61,39.97,37.69,37.86,2211600,18.18
"2009-03-17",37.74,38.33,37,38.33,2307200,18.41
"2009-03-18",38.42,40.34,37.73,40.2,2177800,19.3
"2009-03-19",40.88,42.14,40.36,41.55,2059600,19.95
"2009-03-20",41.9,41.93,39.72,40.16,2164000,19.28
"2009-03-23",41.16,43.68,40.96,43.68,1542400,20.97
"2009-03-24",42.84,43.93,42.38,43.62,2045400,20.95
"2009-03-25",44.05,45.33,42.64,43.91,2841200,21.08
"2009-03-26",44.5,45.88,44.15,45.85,1790600,22.02
"2009-03-27",44.79,44.79,42.72,42.99,3461200,20.7
"2009-03-30",41.49,42.12,40.47,42.03,1540200,20.24
"2009-03-31",42.31,43.93,41.99,43.14,1655200,20.77
"2009-04-01",42.06,45.15,41.5,44.85,2360800,21.59
"2009-04-02",46.19,48.75,46.19,47.78,3231400,23.01
"2009-04-03",47.5,48.18,46.16,48.18,1316600,23.2
"2009-04-06",47.42,47.5,46.07,46.82,1240200,22.54
"2009-04-07",45.69,46.63,45.07,45.27,1201000,21.8
"2009-04-08",45.6,45.78,44.34,45.67,2312800,21.99
"2009-04-09",47.2,48.22,46.39,48.19,1705200,23.2
"2009-04-13",47.37,47.87,46.65,47.56,1138800,22.9
"2009-04-14",47.11,47.11,45.35,45.43,1262800,21.87
"2009-04-15",45,46.56,45,46.07,1530000,22.18
"2009-04-16",46.53,47.86,45.98,47.62,1869600,22.93
"2009-04-17",47.66,47.66,46.11,46.14,1400000,22.22
"2009-04-20",45.53,45.53,43.04,43.07,1776000,20.74
"2009-04-21",43.07,46.23,42,46.11,4478200,22.2
"2009-04-22",45.64,47.67,45.14,45.84,1955200,22.07
"2009-04-23",46.02,46.09,44.13,45.52,1770800,21.92
"2009-04-24",46.03,47.53,45.73,46.12,1891400,22.21
"2009-04-27",45.14,47.28,44.19,46.94,1757400,22.6
"2009-04-28",46.2,48.39,45.72,47.95,2116200,23.09
"2009-04-29",48.4,50.49,48.32,49.79,1772200,23.97
"2009-04-30",50.59,51.09,48.63,48.73,1712800,23.46
"2009-05-01",48.53,49.79,47.96,49.1,1366400,23.64
"2009-05-04",49.21,51.51,49.21,51.15,2599200,24.63
"2009-05-05",47.9,48.83,43.41,45.04,10670400,21.69
"2009-05-06",46.15,47.55,45.77,46.95,4526600,22.61
"2009-05-07",47.59,47.86,46.68,47.23,4912600,22.74
"2009-05-08",48.29,49.98,48.27,49.91,3060800,24.03
"2009-05-11",48.74,49,47.1,47.44,2527400,22.84
"2009-05-12",47.97,48.68,46.95,48.37,2449600,23.29
"2009-05-13",47.61,48.31,46.7,48.04,2628400,23.13
"2009-05-14",48.1,50.45,48.1,50.2,3061000,24.17
"2009-05-15",49.82,50.2,48.09,48.47,2279800,23.34
"2009-05-18",49.14,50,48.8,49.8,2684000,23.98
"2009-05-19",50.14,50.64,49.54,50.06,3179200,24.1
"2009-05-20",50.49,53.55,50.49,52.62,3113200,25.34
"2009-05-21",51.84,51.84,49.41,50.78,1981800,24.45
"2009-05-22",50.99,51.74,50.15,51.3,1726400,24.7
"2009-05-26",50.73,53,50.34,52.93,2677800,25.49
"2009-05-27",53.32,54.11,51.61,51.79,2288000,24.94
"2009-05-28",52.71,53.87,51.55,53.05,2093800,25.54
"2009-05-29",53.5,54.54,52.64,54.35,4865800,26.17
"2009-06-01",54.99,56.25,54.54,55.25,3035800,26.6
"2009-06-02",55.39,55.39,52.32,54.07,3364800,26.03
"2009-06-03",53.41,53.8,52.8,53.8,2694400,25.9
"2009-06-04",54.11,54.79,53.55,54.26,1730200,26.13
