"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2007-05-30",86.58,89.5,84.59,89.4,1973800,71.47
"2007-05-31",89.73,92.15,89.09,89.5,1542700,71.55
"2007-06-01",89.35,90.07,88.1,89.25,785500,71.35
"2007-06-04",89.48,90.66,89.07,89.68,710600,71.7
"2007-06-05",89.75,90.68,88.06,88.21,1542200,70.52
"2007-06-06",87.3,87.79,85.89,87.05,1695200,69.59
"2007-06-07",87.05,87.05,81.95,83.86,1405700,67.04
"2007-06-08",83.98,84.68,83.14,84.25,895700,67.36
"2007-06-11",83.58,84,82.48,82.51,890900,65.96
"2007-06-12",81.9,82.74,81.17,81.32,990800,65.01
"2007-06-13",81.13,83.11,80.82,82.62,1334200,66.46
"2007-06-14",82.62,83.09,81.59,81.83,772900,65.83
"2007-06-15",82.65,83.6,82.6,83.05,1146500,66.81
"2007-06-18",82.66,83.3,82.49,82.65,1166300,66.49
"2007-06-19",82.65,82.86,81.53,82.69,940000,66.52
"2007-06-20",82.69,82.69,80.34,80.34,1202300,64.63
"2007-06-21",79.91,80,77.74,79.48,1574400,63.94
"2007-06-22",79.1,79.66,78.14,79.05,1359400,63.59
"2007-06-25",78.43,79.55,77.11,77.61,1821000,62.43
"2007-06-26",77.85,78.17,76.9,77.55,1044000,62.38
"2007-06-27",77.55,79.95,74.28,79.61,1606500,64.04
"2007-06-28",79.57,80.39,78.12,78.12,1121200,62.84
"2007-06-29",78.36,79.16,76.32,76.82,1564100,61.8
"2007-07-02",77,79.17,75.96,79.17,1320600,63.69
"2007-07-03",78.93,79.7,78.65,79.25,826100,63.75
"2007-07-05",80.2,82.11,80,80.31,1001700,64.6
"2007-07-06",80.31,80.81,79.6,80.48,716100,64.74
"2007-07-09",80.65,80.86,79.61,80.67,789700,64.89
"2007-07-10",79.27,79.67,76.77,76.91,1233700,61.87
"2007-07-11",76.44,76.79,75.31,76.55,831400,61.58
"2007-07-12",76.35,77.62,75.83,77.62,936600,62.44
"2007-07-13",77.5,78.79,76.52,78.75,869900,63.35
"2007-07-16",78.65,79.84,78.52,78.75,990600,63.35
"2007-07-17",79,79.2,77.27,77.95,1009800,62.7
"2007-07-18",76.58,77.05,75.25,76.91,1104100,61.87
"2007-07-19",77.36,78.43,77.1,78.11,720400,62.83
"2007-07-20",77,77.7,75.5,76.14,1137200,61.25
"2007-07-23",76.68,76.99,74.8,74.8,656700,60.17
"2007-07-24",74.75,76.2,73.2,73.61,1392800,59.21
"2007-07-25",73.6,74.48,71.32,72.43,1206300,58.26
"2007-07-26",70.76,72.14,68.83,70.77,2019700,56.93
"2007-07-27",69.08,71.96,69.08,69.7,1782400,56.07
"2007-07-30",69.85,71.45,69.58,70.83,1120400,56.98
"2007-07-31",71.6,73.05,70,70.09,1222900,56.38
"2007-08-01",70.06,73.03,69.66,72.2,1615600,58.08
"2007-08-02",72.48,74.7,72.01,74.23,1432700,59.71
"2007-08-03",73.65,75.38,71.66,71.92,1839800,57.85
"2007-08-06",72.5,73.45,70.19,73.4,1564400,59.04
"2007-08-07",74.47,74.9,71.45,73.71,1528800,59.29
"2007-08-08",73.7,77.91,73.7,77,1535500,61.94
"2007-08-09",72.36,79.34,71.61,75.83,1751500,61
"2007-08-10",75.05,75.23,71.33,71.58,1629600,57.58
"2007-08-13",72.5,72.9,70.54,70.61,1018400,56.8
"2007-08-14",70.27,71.15,69.17,69.6,1472100,55.99
"2007-08-15",69.09,72.12,69.04,69.24,1431200,55.7
"2007-08-16",69.77,73.42,68.09,72.81,1989700,58.57
"2007-08-17",77.99,79.25,74.29,75.17,2387200,60.47
"2007-08-20",74.95,76.65,74.21,75.85,1132900,61.02
"2007-08-21",75.62,76.37,74.85,76.34,939200,61.41
"2007-08-22",77,78.79,76.66,77.43,994600,62.29
"2007-08-23",77.53,77.72,75.05,75.71,812800,60.9
"2007-08-24",75.38,75.98,74.31,75.37,622700,60.63
"2007-08-27",75.17,75.48,73.61,73.61,550000,59.21
"2007-08-28",73.34,73.45,70.38,70.38,854700,56.61
"2007-08-29",70.8,73.38,70.56,73.38,782400,59.03
"2007-08-30",72.64,73.98,72.1,73.6,600600,59.21
"2007-08-31",74.57,76.85,74.26,75.78,875500,60.96
"2007-09-04",75.9,78.64,75.36,77.69,996600,62.5
"2007-09-05",76.84,76.98,74.92,75.41,797400,60.66
"2007-09-06",75.65,76.97,74.42,76.79,660600,61.77
"2007-09-07",75.6,75.62,74.13,74.23,939300,59.71
"2007-09-10",73.96,74.28,71.97,72.7,634500,58.88
"2007-09-11",72.88,73.84,72.57,73.2,809000,59.28
"2007-09-12",73.13,74,72.17,73.72,792600,59.7
"2007-09-13",74.27,77.14,74.1,76.45,960000,61.91
"2007-09-14",75.8,76.84,74.79,76.59,778500,62.03
"2007-09-17",76.4,77.41,75.67,76.95,595800,62.32
"2007-09-18",77.5,79.47,76.77,78.95,1124700,63.94
"2007-09-19",79.6,81.1,79.18,79.77,1113600,64.6
"2007-09-20",79.92,79.95,77.97,77.97,818800,63.15
"2007-09-21",78.92,79.3,77.62,77.67,1151200,62.9
"2007-09-24",77.9,80.31,77.9,79.86,891700,64.68
"2007-09-25",79.19,79.45,78.17,78.34,782500,63.45
"2007-09-26",78.69,79.12,77.64,78.17,824400,63.31
"2007-09-27",78.5,79.62,78.01,78.67,437600,63.71
"2007-09-28",78.67,78.79,77.12,78.65,817200,63.7
"2007-10-01",78.65,80.91,78.65,80.9,759600,65.52
"2007-10-02",80.82,83,80.82,82.95,771900,67.18
"2007-10-03",82.58,83.43,82,82.73,784100,67
"2007-10-04",83.39,83.85,82.34,83.61,907600,67.71
"2007-10-05",83.9,85.58,83.76,85.45,1011700,69.2
"2007-10-08",83.76,84.13,82.76,83.13,487400,67.32
"2007-10-09",83.7,84.1,81.8,84.1,708300,68.11
"2007-10-10",84.1,84.26,82.93,83.88,553300,67.93
"2007-10-11",83.96,84.86,82.48,82.75,664900,67.02
"2007-10-12",83.15,83.25,81.93,82.65,717000,66.94
"2007-10-15",82.95,83.03,80.46,80.7,555900,65.36
"2007-10-16",80.71,80.71,78.56,78.64,739500,63.69
"2007-10-17",79.27,79.36,76.18,78.32,612900,63.43
"2007-10-18",77.8,79.26,76.31,78.12,463000,63.27
"2007-10-19",77.8,77.83,75.48,75.67,1205000,61.28
"2007-10-22",75.11,76.71,74.46,76.55,1127700,62
"2007-10-23",76.87,77.92,76.38,77.47,640500,62.74
"2007-10-24",76.97,77.89,75.07,77.71,821200,62.94
"2007-10-25",77.57,78.71,76.41,78.02,863000,63.19
"2007-10-26",78.67,79.53,77.26,78.48,655800,63.56
"2007-10-29",78.7,79.42,77.46,78.38,923800,63.48
"2007-10-30",79.04,80.07,78.4,79.15,553400,64.1
"2007-10-31",79.35,80.97,78.63,80.97,1156900,65.58
"2007-11-01",80,80.1,76.24,76.92,1356700,62.3
"2007-11-02",76.63,77,74.19,75.77,1466600,61.36
"2007-11-05",74.25,75.75,74.1,74.53,1077800,60.36
"2007-11-06",74.59,74.93,72.76,74.27,839900,60.15
"2007-11-07",73.92,73.92,70.88,70.88,1131300,57.4
