"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2007-08-10",67.68,68.63,67.2,67.95,7648500,55.91
"2007-08-13",68.05,68.67,67.2,68.08,5473000,56.01
"2007-08-14",68.35,68.55,66.83,67.16,5052700,55.26
"2007-08-15",66.91,68.52,66.8,67.34,6099700,55.4
"2007-08-16",66.51,68.57,66.5,68.37,9704700,56.25
"2007-08-17",69.68,69.82,68.28,69.38,8667400,57.08
"2007-08-20",69.19,69.65,68.15,68.61,4963400,56.45
"2007-08-21",68.31,68.82,68.1,68.45,4848700,56.32
"2007-08-22",68.63,68.9,67.8,68.8,7342300,56.61
"2007-08-23",68.88,69.02,67.44,67.91,6499900,55.87
"2007-08-24",68.07,68.39,67.83,68.22,3995100,56.13
"2007-08-27",67.91,68.39,67.75,68.1,3175100,56.03
"2007-08-28",68,68.18,67.34,67.51,4927800,55.54
"2007-08-29",67.71,68.29,67.34,68.19,3789000,56.1
"2007-08-30",67.71,68.26,67.61,67.86,3953200,55.83
"2007-08-31",68.23,68.73,67.5,68.03,6216200,55.97
"2007-09-04",68.34,68.9,68.17,68.61,4591600,56.45
"2007-09-05",67.82,68.22,66.63,67.94,4537400,56.21
"2007-09-06",67.64,69.05,67.32,68.56,4787700,56.72
"2007-09-07",68,68.62,67.68,67.98,5439500,56.24
"2007-09-10",68.05,68.84,68.02,68.46,4644200,56.64
"2007-09-11",69.34,69.99,69.02,69.87,6585900,57.8
"2007-09-12",69.65,69.97,69.37,69.58,5477900,57.56
"2007-09-13",69.87,70.48,69.6,69.88,6851300,57.81
"2007-09-14",69.47,70.27,69.4,69.56,4850700,57.55
"2007-09-17",69.36,70.06,69.12,69.8,5095900,57.74
"2007-09-18",70,71.1,69.71,70.88,6007600,58.64
"2007-09-19",71,71.35,70.08,71.11,6961000,58.83
"2007-09-20",70.9,71.45,70.83,71.03,5230100,58.76
"2007-09-21",71.46,71.99,71.03,71.44,7783400,59.1
"2007-09-24",71.46,71.9,70.95,71.25,8124000,58.94
"2007-09-25",70.85,71.73,70.75,71.22,5708000,58.92
"2007-09-26",71.37,72.54,71.33,72.23,6429300,59.75
"2007-09-27",72.3,72.85,72.23,72.62,5488400,60.08
"2007-09-28",72.63,73.29,72.5,73.26,6706500,60.61
"2007-10-01",73.54,74.24,73.5,74.01,7216500,61.23
"2007-10-02",74.12,74.25,73.34,73.76,6144100,61.02
"2007-10-03",73.6,73.7,73.2,73.47,5139100,60.78
"2007-10-04",73.01,73.88,73.01,73.87,4463700,61.11
"2007-10-05",74.14,74.19,73.24,73.74,5698200,61
"2007-10-08",73.5,73.95,73.4,73.91,2371900,61.14
"2007-10-09",73.4,73.69,72.93,73.21,7024100,60.57
"2007-10-10",73.46,74.19,73.1,73.6,5326500,60.89
"2007-10-11",73.8,74.1,70.82,71.77,12367700,59.37
"2007-10-12",71.74,72.47,71.4,71.78,5750600,59.38
"2007-10-15",71.65,71.97,70.79,71.35,7043100,59.03
"2007-10-16",71.06,72.05,71.05,71.87,5704300,59.46
"2007-10-17",72.02,72.79,71.61,72.11,4837700,59.66
"2007-10-18",72.07,72.44,71.71,71.88,3426100,59.46
"2007-10-19",71.6,71.85,70.35,70.4,7392900,58.24
"2007-10-22",70.03,71.22,69.98,71.17,5464300,58.88
"2007-10-23",71.27,71.58,70.71,71.53,4878200,59.18
"2007-10-24",71.18,71.9,70.94,71.8,5084400,59.4
"2007-10-25",72,72.37,71.62,71.98,4707800,59.55
"2007-10-26",72.46,72.46,71.5,72.34,4133300,59.85
"2007-10-29",72.49,73.87,72.17,73.7,5955000,60.97
"2007-10-30",73.3,74.32,73.1,73.84,4961900,61.09
"2007-10-31",74.04,74.3,72.85,73.72,4810900,60.99
"2007-11-01",73.49,73.9,72.39,72.39,4960600,59.89
"2007-11-02",73.63,73.63,72.37,72.98,5073000,60.37
"2007-11-05",73.56,73.56,72.62,72.76,6661600,60.19
"2007-11-06",72.82,73.89,72.76,73.49,4810600,60.8
"2007-11-07",73.32,73.32,72.19,72.34,4909100,59.85
"2007-11-08",72.4,73.75,72,73.5,6819000,60.81
"2007-11-09",73.6,74.23,72.81,73.48,6694900,60.79
"2007-11-12",73.2,73.69,72.5,72.57,4951000,60.04
"2007-11-13",73.19,73.42,72.1,73.34,5741400,60.67
"2007-11-14",73.9,74.96,72.86,74.06,6225000,61.27
"2007-11-15",73.91,74.86,73.38,73.58,5205200,60.87
"2007-11-16",74.21,74.39,73.16,74.15,6092900,61.34
"2007-11-19",73.83,75.4,73.55,75.08,7842900,62.11
"2007-11-20",75,75.58,73.97,74.84,8165000,61.91
"2007-11-21",74.42,76.29,74.42,75.04,7706300,62.08
"2007-11-23",75.69,75.69,74.76,75.51,2283400,62.47
"2007-11-26",75.66,76.41,74.51,74.69,6032900,61.79
"2007-11-27",75.16,76.13,74.44,75.92,6342300,62.81
"2007-11-28",76.09,77.41,75.47,77.16,6729800,63.83
"2007-11-29",77.07,77.07,76.09,76.54,4523000,63.32
"2007-11-30",76.72,77.18,76.04,77.18,7287700,63.85
"2007-12-03",77.51,77.51,76.37,76.58,4424500,63.35
"2007-12-04",76.28,77,76.24,76.65,4260500,63.41
"2007-12-05",75.81,76.79,75.62,76.27,6580300,63.41
"2007-12-06",76.24,77.17,76.04,77.03,3788500,64.04
"2007-12-07",77.17,77.75,76.91,77,3359900,64.01
"2007-12-10",77.37,77.57,76.91,77.28,3942100,64.25
"2007-12-11",77.5,78.09,76.34,76.48,5377900,63.58
"2007-12-12",77.76,78.57,77.2,78.09,7472100,64.92
"2007-12-13",78.3,78.78,77.53,78.69,4995600,65.42
"2007-12-14",78.59,79,78.37,78.46,6740700,65.23
"2007-12-17",78.89,78.89,77.2,77.37,5968700,64.32
"2007-12-18",78.08,78.08,76.52,77.02,7384200,64.03
"2007-12-19",77.19,77.39,76.32,76.79,5039400,63.84
"2007-12-20",77.2,77.22,76.11,76.49,4365200,63.59
"2007-12-21",77.82,77.88,76.77,77.35,7732500,64.3
"2007-12-24",77.35,78,77.01,77.71,1444900,64.6
"2007-12-26",77.98,77.98,76.92,77.28,3244500,64.25
"2007-12-27",77,77.86,76.59,76.7,3429200,63.76
"2007-12-28",77,77.32,76.57,77.03,2418600,64.04
"2007-12-31",76.93,76.93,75.75,75.9,3707600,63.1
"2008-01-02",76.41,76.41,74.71,75.29,4899100,62.59
"2008-01-03",75.39,76.84,75.29,75.78,4728400,63
"2008-01-04",75.29,76.4,75.29,75.55,5493200,62.81
"2008-01-07",75.86,77.44,75.7,77.32,7584800,64.28
"2008-01-08",77.85,78.99,77.17,77.94,7153800,64.8
"2008-01-09",78,79.32,77.98,78.74,9288800,65.46
"2008-01-10",78.74,79.79,78.22,79.57,7874900,66.15
"2008-01-11",79.01,79.17,76.69,77.78,8061200,64.66
"2008-01-14",78.25,78.39,76.65,76.92,7762500,63.95
"2008-01-15",76.02,76.55,74.71,74.83,9342100,62.21
"2008-01-16",74.35,74.85,73.28,73.54,9636900,61.14
"2008-01-17",73.7,73.7,71.84,72.1,10016800,59.94
"2008-01-18",72.54,73.16,70.95,71.46,8986000,59.41
"2008-01-22",68,70,67.37,69.44,14039600,57.73
"2008-01-23",68.51,70.92,67.71,70.5,12136600,58.61
"2008-01-24",70.29,70.67,69.55,69.73,8466700,57.97
"2008-01-25",69.87,70.48,68.7,68.92,8446300,57.3
"2008-01-28",68.95,70.31,68.61,70.27,6940700,58.42
"2008-01-29",70.26,70.57,68.3,68.63,9401000,57.06
"2008-01-30",68.12,68.76,67.2,67.39,8292500,56.02
"2008-01-31",67.15,68.49,66.3,68.05,13195200,56.57
"2008-02-01",68.34,69.08,67.98,68.83,7728300,57.22
"2008-02-04",68.85,69.34,68.53,69.22,5598600,57.55
"2008-02-05",68.14,68.64,67.41,67.95,8681400,56.49
"2008-02-06",68.38,68.38,66.32,66.73,14149600,55.48
"2008-02-07",68.7,70.53,67.8,70.41,15291100,58.54
"2008-02-08",70.38,70.56,69.5,69.81,6044800,58.04
"2008-02-11",69.93,71.2,69.3,70.96,6934800,58.99
"2008-02-12",71.31,72.24,70.96,71.96,6635300,59.82
"2008-02-13",72.37,72.75,71.42,71.63,6603300,59.55
"2008-02-14",71.79,72.14,71.2,71.57,7899600,59.5
"2008-02-15",71.5,71.77,71.17,71.73,5963300,59.63
"2008-02-19",72.5,72.5,71.09,71.14,4920800,59.14
"2008-02-20",71.96,71.96,70.1,71.12,5848300,59.13
"2008-02-21",71.5,71.68,70.83,71.08,5531400,59.09
"2008-02-22",71.39,71.49,70.54,71.38,4771900,59.34
"2008-02-25",71.33,71.93,70.96,71.59,4681000,59.52
"2008-02-26",71.11,71.56,70.91,71.33,4673000,59.3
"2008-02-27",71.01,71.72,71.01,71.2,4520400,59.19
"2008-02-28",71.21,71.21,70.35,71.06,4804800,59.08
"2008-02-29",70.42,70.67,69.35,69.56,5893400,57.83
"2008-03-03",69.55,70.25,69.17,70.17,5024400,58.34
"2008-03-04",69.32,70.36,69.32,70.04,5965200,58.23
"2008-03-05",70.33,70.72,69,70.28,6690200,58.74
"2008-03-06",70,70.9,69.96,70.12,6138800,58.61
"2008-03-07",69.84,70.31,69.29,69.59,7205600,58.16
"2008-03-10",69.79,69.79,68.83,69.02,4702000,57.69
"2008-03-11",70.43,70.43,68.98,69.95,7215600,58.47
"2008-03-12",69.97,70.32,69.4,69.56,6049100,58.14
"2008-03-13",68.63,69.74,68.26,69.24,6734000,57.87
"2008-03-14",69.75,69.75,68.03,68.45,7798000,57.21
"2008-03-17",68,70.05,67.95,69.15,9426100,57.8
"2008-03-18",70.32,70.36,69.17,70.02,7871800,58.52
"2008-03-19",70,71.5,69.73,70.18,6252600,58.66
"2008-03-20",70.5,71.42,70,71.19,7360200,59.5
"2008-03-24",71.4,71.92,70.86,71.45,4580400,59.72
"2008-03-25",71.5,72.21,71.19,71.54,4777300,59.79
"2008-03-26",71.31,71.75,71.06,71.16,3740700,59.48
"2008-03-27",71.44,71.9,70.94,71.19,5078000,59.5
"2008-03-28",71.4,72,71.4,71.56,3770100,59.81
"2008-03-31",71.8,72.35,71.28,72.2,6499000,60.35
"2008-04-01",71.89,72.17,71.04,72.13,6937200,60.29
"2008-04-02",71.7,71.93,71.24,71.42,5123100,59.69
"2008-04-03",71.06,71.9,71.06,71.4,4699100,59.68
"2008-04-04",71.5,72.12,71.3,71.53,4569600,59.79
"2008-04-07",71.91,72.06,71.15,71.86,5689100,60.06
"2008-04-08",71.4,71.69,71.13,71.28,5376700,59.58
"2008-04-09",71.18,71.33,70.62,70.97,4305200,59.32
"2008-04-10",70.84,72.08,70.74,71.7,6035600,59.93
"2008-04-11",71.69,71.83,71.11,71.4,4302000,59.68
"2008-04-14",71.4,71.87,70.92,70.95,4760600,59.3
"2008-04-15",71.25,71.46,70.78,71.22,3739900,59.53
"2008-04-16",71.68,71.68,70.39,71.11,7591500,59.44
"2008-04-17",70.77,71.28,70.37,70.77,4670800,59.15
"2008-04-18",71.55,71.59,69.86,70.6,8110400,59.01
"2008-04-21",70.09,70.77,69.83,69.9,5314300,58.42
"2008-04-22",69.74,69.85,68.63,69.1,7486600,57.76
"2008-04-23",69.1,69.97,68.79,69.19,7170900,57.83
"2008-04-24",68.81,69.59,68,68,10145400,56.84
"2008-04-25",68.3,68.35,67.21,67.62,8427200,56.52
"2008-04-28",67.55,68.7,67.29,68.16,8480400,56.97
"2008-04-29",68.21,68.5,67.78,68.2,4848400,57
"2008-04-30",67.81,69.39,67.81,68.53,6561300,57.28
"2008-05-01",68.46,68.75,68.03,68.5,5720900,57.25
"2008-05-02",69.02,69.82,68.77,69.1,7120600,57.76
"2008-05-05",69.29,69.72,68.32,68.57,5009700,57.31
"2008-05-06",68.41,68.72,67.87,68.57,5332800,57.31
"2008-05-07",68.75,69.12,67.84,68.01,6699700,56.84
"2008-05-08",68.4,68.42,67.24,67.54,6329100,56.45
"2008-05-09",67.76,67.91,66.81,67.51,5910300,56.43
"2008-05-12",67.55,67.71,66.96,67.35,5120000,56.29
"2008-05-13",67.39,67.68,66.85,67.25,5474000,56.21
"2008-05-14",67.75,67.98,67.04,67.1,6229800,56.08
"2008-05-15",67.35,68.34,67.12,68.07,6554900,56.89
"2008-05-16",68.32,68.44,67.76,67.87,7180400,56.73
"2008-05-19",68.08,68.12,67.5,68.03,5414300,56.86
"2008-05-20",67.57,67.96,67.22,67.46,6275400,56.38
"2008-05-21",67.26,68.21,67.16,67.27,6132400,56.23
"2008-05-22",67.5,68.67,67.5,68.38,6295400,57.15
"2008-05-23",68.05,68.38,67.88,68.26,5411500,57.05
"2008-05-27",68.16,69.1,68.05,69.01,6181400,57.68
"2008-05-28",69,69,67.8,67.93,6476300,56.78
"2008-05-29",67.94,69.04,67.93,68.83,4940100,57.53
"2008-05-30",68.9,68.9,68.03,68.3,5569800,57.09
"2008-06-02",68.11,68.22,67.07,67.55,7186500,56.46
"2008-06-03",67.75,67.75,66.73,67.05,6995200,56.04
"2008-06-04",66.73,67.05,66.42,66.67,5829400,56.08
"2008-06-05",66.93,67.35,66.47,67.29,5918000,56.6
"2008-06-06",66.87,67.04,65.45,65.52,9734200,55.11
"2008-06-09",65.92,65.92,64.69,65.37,9046500,54.99
"2008-06-10",65.29,68.27,65.29,67.58,10358400,56.85
"2008-06-11",67.35,68.05,67.22,67.49,7947600,56.77
"2008-06-12",67.84,68.23,67.3,67.95,6566500,57.16
"2008-06-13",67.96,68.2,66.73,67.54,8322000,56.81
"2008-06-16",67.01,67.76,65.25,66.04,10057000,55.55
"2008-06-17",66.25,66.57,65.54,65.87,7633100,55.41
"2008-06-18",65.8,65.83,65.02,65.06,8905200,54.73
"2008-06-19",65.13,66.23,64.95,65.89,6146200,55.42
"2008-06-20",65.75,66.11,64.91,65.08,10181400,54.74
"2008-06-23",65.23,65.31,64.37,64.63,5723600,54.36
"2008-06-24",64.52,64.78,63.31,64.02,6919200,53.85
"2008-06-25",64.13,65.92,64.13,65.52,8838600,55.11
"2008-06-26",64.68,65.67,64.68,64.77,8014500,54.48
"2008-06-27",64.96,65.37,63.83,63.93,9890300,53.78
"2008-06-30",64.32,64.77,63.4,63.59,9260200,53.49
"2008-07-01",63.28,64.53,63.28,64.4,9900000,54.17
"2008-07-02",64.51,65.99,64.45,65.76,9356000,55.31
"2008-07-03",65.71,66.91,65.71,66.77,5571800,56.16
"2008-07-07",66.72,67,66.09,66.62,7867700,56.04
"2008-07-08",66.41,66.8,65.59,65.83,9145000,55.37
"2008-07-09",65.99,66.16,65.09,65.35,6353300,54.97
"2008-07-10",65.5,65.74,64.77,65.59,6384100,55.17
"2008-07-11",65.01,65.35,63.94,64.66,9117700,54.39
"2008-07-14",65.15,65.52,64.31,64.91,6182300,54.6
"2008-07-15",64.36,65.85,64.13,65.57,8423500,55.15
"2008-07-16",65.77,66.13,65.05,66.09,5708600,55.59
"2008-07-17",66.49,66.49,64.35,65.53,10344500,55.12
"2008-07-18",65.45,65.74,64.81,65.41,7075900,55.02
"2008-07-21",65.8,65.8,64.26,64.45,5265100,54.21
"2008-07-22",64.62,66.36,64.12,66.19,8881400,55.68
"2008-07-23",66.49,67.86,65.51,67.72,9255900,56.96
"2008-07-24",67.85,68.02,66.94,67.4,5342500,56.69
"2008-07-25",67.75,67.94,66.73,67.22,9276000,56.54
"2008-07-28",67.21,67.3,66.29,66.71,4495300,56.11
"2008-07-29",66.75,67.25,66.54,66.98,8205700,56.34
"2008-07-30",67.25,67.63,66.57,66.91,7876800,56.28
"2008-07-31",66.8,67.43,66.42,66.56,7317600,55.99
"2008-08-01",66.82,67.4,66.36,66.63,7640100,56.05
"2008-08-04",66.71,67.95,66.63,67.67,9717000,56.92
"2008-08-05",67.98,68.79,67.57,68.52,12080000,57.64
"2008-08-06",68.46,68.54,67.96,68.54,5151400,57.65
"2008-08-07",68.45,68.5,67.8,67.95,5769500,57.16
"2008-08-08",67.94,69.46,67.85,69.35,8564700,58.33
"2008-08-11",69.35,69.48,68.76,69.27,6004500,58.27
"2008-08-12",69.4,69.85,68.95,69.62,5342300,58.56
"2008-08-13",69.35,70.13,69.21,69.74,6085800,58.66
"2008-08-14",69.77,70.83,69.13,69.94,5605200,58.83
"2008-08-15",70.2,70.43,69.77,70.2,5637500,59.05
"2008-08-18",70.46,70.65,69.55,69.81,4405300,58.72
"2008-08-19",69.4,70.49,69.23,70.1,6164700,58.96
"2008-08-20",70.37,70.37,69.4,69.85,4082700,58.75
"2008-08-21",69.51,69.66,68.65,69.39,5647400,58.37
"2008-08-22",69.56,70.2,69.39,69.9,3392300,58.8
"2008-08-25",69.6,69.9,68.75,69.05,3999000,58.08
"2008-08-26",69.15,69.31,68.46,68.7,4386200,57.79
"2008-08-27",68.58,69.21,68.26,69.2,2960100,58.21
"2008-08-28",69.37,69.46,68.88,69.19,3326100,58.2
"2008-08-29",69.18,69.48,68.43,68.48,4206100,57.6
"2008-09-02",68.89,70.55,68.86,69.46,6397600,58.43
"2008-09-03",68.95,69.3,68.48,69.19,5213300,58.56
"2008-09-04",68.99,69.83,68.3,68.39,5859800,57.88
"2008-09-05",68.14,69.15,68.14,68.92,6165000,58.33
"2008-09-08",69.22,70.53,69.22,70.34,6948600,59.53
"2008-09-09",69.97,71.38,69.97,71,11337400,60.09
"2008-09-10",71.26,71.99,70.42,71.83,10297000,60.79
"2008-09-11",71.53,72.69,71.03,72.62,8129000,61.46
"2008-09-12",72.22,73.2,72.06,73.15,6930500,61.91
"2008-09-15",72.08,73.56,72.08,72.35,9174500,61.23
"2008-09-16",71.41,73.2,71.41,72.98,11410800,61.77
"2008-09-17",72.63,73.5,71.53,71.68,13533800,60.67
"2008-09-18",71.98,74.27,71.53,73.23,13124400,61.98
"2008-09-19",73.63,75.25,72.32,73.19,14671500,61.94
"2008-09-22",72.92,73.19,70.81,71.08,7445600,60.16
"2008-09-23",71.14,72.33,70.57,70.75,7294600,59.88
"2008-09-24",70.36,71.12,69.51,70.1,9390100,59.33
"2008-09-25",70.41,71.99,70.29,71.3,6851600,60.34
"2008-09-26",70.3,72.13,70.3,71.71,6489500,60.69
