"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2008-12-12",29,32.41,28.01,31.5,6869300,29.29
"2008-12-15",32.77,33.5,31.01,31.46,5556300,29.26
"2008-12-16",33.64,36.03,33.5,35.96,9216000,33.44
"2008-12-17",35.5,38.59,35.4,37.17,9337900,34.57
"2008-12-18",38.07,38.15,34.05,34.75,5973700,32.31
"2008-12-19",33.81,34.97,33.16,33.61,5825000,31.25
"2008-12-22",34.19,34.19,30.07,31.09,5781600,28.91
"2008-12-23",31.51,33.11,31.03,31.36,6523300,29.16
"2008-12-24",31.87,31.89,30.61,31.23,1941600,29.04
"2008-12-26",31.37,32.85,30.77,32.59,2453600,30.31
"2008-12-29",33.65,34.3,32.6,33.87,4747400,31.5
"2008-12-30",34,34.34,32.78,34.2,4075800,31.8
"2008-12-31",34.12,35.27,33.89,34.6,4224400,32.18
"2009-01-02",35.18,37.13,34.8,36.86,5472700,34.28
"2009-01-05",36.87,39,36.69,37.67,10678600,35.03
"2009-01-06",37.22,39.04,34.85,38.56,16696100,35.86
"2009-01-07",39.09,41.15,38.05,38.44,13245400,35.75
"2009-01-08",37.65,40,36.47,39.77,10093400,36.98
"2009-01-09",40.37,40.58,38.27,38.79,6136700,36.07
"2009-01-12",38.37,38.37,33.86,34.56,10149000,32.14
"2009-01-13",34.11,35.71,33.48,35.08,7405100,32.62
"2009-01-14",34,34.1,32.15,33.21,7332200,30.88
"2009-01-15",33.06,35.2,31.17,34.47,8074000,32.05
"2009-01-16",36.02,36.49,34.03,35.45,7463900,32.97
"2009-01-20",34.79,34.89,32.06,32.15,6788400,29.9
"2009-01-21",32.94,33.64,31.57,33.64,6311900,31.28
"2009-01-22",32.47,34.94,31.92,33.95,7441700,31.57
"2009-01-23",32.43,36.66,32.12,35.39,6829800,32.91
"2009-01-26",35.66,37.8,35.56,36.53,7057100,33.97
"2009-01-27",37.13,37.38,35.5,36.54,5391000,33.98
"2009-01-28",37.51,38.79,37.03,37.77,7291900,35.12
"2009-01-29",36.91,37.5,36.04,36.13,5169700,33.6
"2009-01-30",36.58,36.74,34.8,35.67,6462700,33.17
"2009-02-02",34.66,36.5,34.2,35.55,5707600,33.06
"2009-02-03",35.8,36.62,35.17,36.34,4796100,33.84
"2009-02-04",37.04,39.33,36.65,39,8404700,36.32
"2009-02-05",38.58,41.95,38.45,41.35,9877800,38.51
"2009-02-06",42.75,45.46,42.5,45.05,15042000,41.95
"2009-02-09",45.79,48.68,44.44,45.64,15282800,42.5
"2009-02-10",45.44,46.95,43.21,44.17,12423600,41.13
"2009-02-11",45.5,45.54,40.96,42.19,11216400,39.29
"2009-02-12",41,43.14,39.8,43.05,9791800,40.09
"2009-02-13",43.02,43.68,42.28,42.88,6961000,39.93
"2009-02-17",40.5,40.85,38.9,39.54,9673900,36.82
"2009-02-18",40.38,41.7,39.41,40.88,7728800,38.07
"2009-02-19",42.18,43.76,41.52,41.73,6947300,38.86
"2009-02-20",40.05,42.85,39.81,42.52,7216400,39.6
"2009-02-23",43.63,44.47,35.75,35.89,15044500,33.42
"2009-02-24",36.5,39.4,36.47,38.86,12875600,36.19
"2009-02-25",40.95,41.66,39.06,39.12,11328600,36.43
"2009-02-26",40.1,41.55,39.6,39.66,7769400,36.93
"2009-02-27",38.49,43.72,37.89,43.05,18504200,40.09
"2009-03-02",41.13,41.41,36.94,37.72,15846800,35.13
"2009-03-03",38.6,41.25,38.5,40.15,11400400,37.39
"2009-03-04",42.27,44.4,40.9,41.88,17362100,39
"2009-03-05",40.56,42.47,39.57,40.09,8665500,37.33
"2009-03-06",41,41.57,37.78,39.16,9461200,36.47
"2009-03-09",38.3,41.34,37.75,40.35,7494600,37.58
"2009-03-10",42.4,44.44,42.12,44.09,10150500,41.06
"2009-03-11",44.98,45.85,43.76,45.53,10162400,42.4
"2009-03-12",44.55,44.92,41.83,43.21,12301100,40.24
