"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2007-08-03",42.2,42.7,39.94,39.94,8183600,9.98
"2007-08-06",40,40.74,38.3,40.45,10954400,10.11
"2007-08-07",37.24,41.73,37.24,41.32,8474800,10.33
"2007-08-08",41.88,47.38,41.46,44.75,17545200,11.19
"2007-08-09",44.05,45.71,42.6,43.77,8590800,10.94
"2007-08-10",43,46,43,44.68,9058000,11.17
"2007-08-13",44.9,45.73,43.06,43.66,6461200,10.91
"2007-08-14",43.45,46.1,43.4,44.9,7519600,11.23
"2007-08-15",44.6,46,42.31,42.8,13259600,10.7
"2007-08-16",43.24,43.25,38.8,41.25,22675600,10.31
"2007-08-17",42.34,42.44,39.7,40.02,10028400,10.01
"2007-08-20",40.02,40.25,38.9,39.68,6575600,9.92
"2007-08-21",39.8,40.25,38.84,39.6,7608800,9.9
"2007-08-22",40.19,41.36,39.36,39.69,7460800,9.92
"2007-08-23",39.6,40.11,38.94,39.43,5229200,9.86
"2007-08-24",39.32,41.56,39.08,41.43,5679600,10.36
"2007-08-27",40.92,41.6,40.5,40.54,5363600,10.14
"2007-08-28",40,40.19,39.38,39.68,3793200,9.92
"2007-08-29",39.92,40.69,39.75,40.53,1978400,10.13
"2007-08-30",39.83,41.2,39.56,39.73,4205600,9.93
"2007-08-31",40.81,41.09,40.26,40.43,3502800,10.11
"2007-09-04",40.06,41.39,40.06,40.77,3104800,10.19
"2007-09-05",40.59,41.15,40.2,40.96,2706800,10.24
"2007-09-06",40.96,43.02,40.9,42.64,7916000,10.66
"2007-09-07",41.8,43.4,41.6,43.21,7086800,10.8
"2007-09-10",43.24,44.2,41.95,44.12,5398800,11.03
"2007-09-11",44.12,46.5,44.12,45.93,12404800,11.48
"2007-09-12",45.26,47.46,45.15,45.94,9156800,11.48
"2007-09-13",46.64,46.77,45.56,46.44,2404000,11.61
"2007-09-14",45.48,46.74,45.31,46.38,4364800,11.6
"2007-09-17",45.6,46.14,45.36,45.73,5188400,11.43
"2007-09-18",46,47.1,44.38,45.94,12685600,11.48
"2007-09-19",46.12,46.5,45.32,45.8,6304800,11.45
"2007-09-20",45.41,46.17,45.24,45.65,3334400,11.41
"2007-09-21",46,46.29,45.72,46.25,4425200,11.56
"2007-09-24",46.5,49.71,46.37,48.47,12143200,12.12
